#TYPE Selected.System.ServiceProcess.ServiceController
"User Data Access_3fbeb","UserDataSvc_3fbeb"
"User Data Storage_3fbeb","UnistoreSvc_3fbeb"
"User Experience Virtualization Service","UevAgentService"
"Virtual Disk","vds"
"VMware Snapshot Provider","vmvss"
"Volume Shadow Copy","VSS"
"Volumetric Audio Compositor Service","VacSvc"
"WalletService","WalletService"
"WarpJITSvc","WarpJITSvc"
"WebClient","WebClient"
"Wi-Fi Direct Services Connection Manager Service","WFDSConMgrSvc"
"Windows Backup","SDRSVC"
"Windows Biometric Service","WbioSrvc"
"Windows Camera Frame Server","FrameServer"
"Windows Connect Now - Config Registrar","wcncsvc"
"Windows Defender Advanced Threat Protection Service","Sense"
"Windows Encryption Provider Host Service","WEPHOSTSVC"
"Windows Error Reporting Service","WerSvc"
"Windows Event Collector","Wecsvc"
"Windows Image Acquisition (WIA)","stisvc"
"Windows Insider Service","wisvc"
"Windows Installer","msiserver"
"Windows License Manager Service","LicenseManager"
"Windows Management Service","WManSvc"
"Windows Media Player Network Sharing Service","WMPNetworkSvc"
"Windows Mobile Hotspot Service","icssvc"
"Windows Modules Installer","TrustedInstaller"
"Windows Perception Service","spectrum"
"Windows Perception Simulation Service","perceptionsimulation"
"Windows PushToInstall Service","PushToInstall"
"Windows Remote Management (WS-Management)","WinRM"
"Windows Time","W32Time"
"Windows Update","wuauserv"
"Windows Update Medic Service","WaaSMedicSvc"
"Wired AutoConfig","dot3svc"
"WLAN AutoConfig","WlanSvc"
"WMI Performance Adapter","wmiApSrv"
"Work Folders","workfolderssvc"
"WWAN AutoConfig","WwanSvc"
"Xbox Accessory Management Service","XboxGipSvc"
"Xbox Live Auth Manager","XblAuthManager"
"Xbox Live Game Save","XblGameSave"
"Xbox Live Networking Service","XboxNetApiSvc"
